Date,Close,daily_articles
2021-11-17,446.4543151855469,1
2021-11-19,447.169677734375,2
2021-11-26,437.7091064453125,1
2021-11-29,443.0783386230469,1
2021-11-30,434.4571228027344,2
2021-12-01,429.6314392089844,4
2021-12-02,436.2118225097656,2
2021-12-03,432.4161376953125,3
2021-12-06,437.5375061035156,3
2021-12-07,446.5878601074219,4
2021-12-08,447.7703552246094,1
2021-12-09,444.7472839355469,1
2021-12-10,448.9338989257813,1
2021-12-13,444.9571533203125,1
2021-12-14,441.895751953125,1
2021-12-15,448.8003540039063,2
2021-12-16,444.8426513671875,1
2021-12-17,440.1082153320313,3
2021-12-20,435.4284057617188,2
2021-12-21,443.1611022949219,2
2021-12-22,447.5921630859375,3
2021-12-27,456.7508850097656,2
2021-12-28,456.3777465820313,2
2021-12-29,456.9615173339844,1
2021-12-30,455.69818115234375,1
2021-12-31,454.5497741699219,1
2022-01-03,457.1816101074219,1
2022-01-05,448.2525634765625,2
2022-01-12,450.7790832519531,2
2022-01-13,444.5680236816406,2
2022-01-14,444.7497863769531,1
2022-01-20,427.552001953125,4
2022-01-21,419.1588745117188,3
2022-01-25,415.7997131347656,1
2022-01-27,412.7084655761719,1
2022-01-28,422.9582824707031,1
2022-01-31,430.57623291015625,2
2022-02-01,433.4856262207031,4
2022-02-02,437.6965637207031,2
2022-02-03,427.4084777832031,2
2022-02-04,429.4181823730469,3
2022-02-08,431.56195068359375,2
2022-02-09,437.8783874511719,2
2022-02-10,430.0116271972656,3
2022-02-11,421.5323181152344,2
2022-02-14,420.1541748046875,3
2022-02-15,426.9300231933594,1
2022-02-18,415.570068359375,1
2022-02-22,411.1103515625,1
2022-02-24,409.8948669433594,3
2022-02-25,418.9387512207031,1
2022-02-28,417.8668823242188,2
2022-03-02,419.07275390625,1
2022-03-03,416.98638916015625,1
2022-03-07,401.4060363769531,2
2022-03-09,409.0431518554688,2
2022-03-11,402.0185546875,5
2022-03-14,399.0804443359375,8
2022-03-15,407.8564147949219,1
2022-03-16,416.90032958984375,2
2022-03-17,422.1160888671875,1
2022-03-18,426.7394104003906,1
2022-03-21,426.61468505859375,5
2022-03-22,431.606689453125,1
2022-03-23,426.0482177734375,2
2022-03-24,432.4706726074219,3
2022-03-25,434.5827026367188,3
2022-03-28,437.67388916015625,2
2022-03-30,440.3522644042969,4
2022-03-31,433.5746765136719,1
2022-04-01,434.8034973144531,4
2022-04-04,438.52825927734375,5
2022-04-05,432.9890747070313,5
2022-04-06,428.6594848632813,2
2022-04-07,430.8194885253906,2
2022-04-08,429.66748046875,1
2022-04-11,422.323486328125,1
2022-04-12,420.7586975097656,2
2022-04-13,425.5779113769531,5
2022-04-14,420.2787170410156,2
2022-04-18,420.4514465332031,3
2022-04-21,420.537841796875,1
2022-04-25,411.3698425292969,2
2022-04-26,399.4562377929688,1
2022-04-27,400.5794372558594,1
2022-04-28,410.6978454589844,2
2022-04-29,395.5202026367188,1
2022-05-02,397.9010314941406,2
2022-05-03,399.7250061035156,1
2022-05-04,411.8978576660156,1
2022-05-05,397.2578430175781,1
2022-05-06,394.8866271972656,2
2022-05-09,382.2434387207031,5
2022-05-11,377.0402526855469,2
2022-05-12,376.6466674804688,1
2022-05-13,385.6514587402344,2
2022-05-16,384.086669921875,1
2022-05-17,391.9874572753906,3
2022-05-19,373.88177490234375,3
2022-05-20,374.0450439453125,2
2022-05-23,381.04345703125,4
2022-05-24,378.1346130371094,2
2022-05-25,381.4754638671875,2
2022-05-26,389.0978088378906,2
2022-06-01,393.2066345214844,2
2022-06-02,400.6946411132813,1
2022-06-06,395.3186340332031,1
2022-06-07,399.1106262207031,2
2022-06-08,394.7714538574219,3
2022-06-09,385.3826293945313,3
2022-06-10,374.2082214355469,1
2022-06-13,360.0002746582031,2
2022-06-14,358.9154663085937,2
2022-06-15,364.0322265625,3
2022-06-17,352.74298095703125,1
2022-06-21,361.622802734375,1
2022-06-23,364.505615234375,2
2022-06-24,376.09466552734375,1
2022-06-27,374.65814208984375,2
2022-06-28,367.0027465820313,4
2022-06-29,366.7039184570313,1
2022-06-30,363.724609375,2
2022-07-01,367.5715942382813,1
2022-07-07,375.0437622070313,2
2022-07-11,370.4544372558594,2
2022-07-12,367.1763305664063,1
2022-07-13,365.248046875,1
2022-07-15,371.3221740722656,1
2022-07-18,368.2561950683594,3
2022-07-19,378.2061462402344,1
2022-07-22,380.9250793457031,3
2022-07-25,381.3878479003906,1
2022-07-26,376.8756713867188,1
2022-07-28,391.5113830566406,1
2022-07-29,397.2191467285156,1
2022-08-01,396.0428771972656,2
2022-08-02,393.4300231933594,2
2022-08-03,399.5909729003906,2
2022-08-04,399.3209533691406,3
2022-08-05,398.6460876464844,3
2022-08-08,398.1832885742188,6
2022-08-10,404.9323120117188,1
2022-08-17,411.35357666015625,1
2022-08-18,412.5491027832031,1
2022-08-19,407.0052490234375,2
2022-08-22,398.5304260253906,2
2022-08-23,397.5661926269531,1
2022-08-24,398.8388977050781,2
2022-08-29,388.19476318359375,1
2022-08-30,383.9332275390625,2
2022-09-02,378.17724609375,1
2022-09-06,376.7503356933594,2
2022-09-07,383.5185546875,2
2022-09-08,386.0254211425781,1
2022-09-09,392.02239990234375,2
2022-09-12,396.2357482910156,3
2022-09-14,380.45263671875,4
2022-09-15,376.1332702636719,4
2022-09-16,373.26373291015625,4
2022-09-19,376.1584167480469,1
2022-09-20,371.8406677246094,1
2022-09-22,362.2854309082031,3
2022-09-23,356.21533203125,2
2022-09-26,352.6914367675781,2
2022-09-28,358.7131042480469,2
2022-09-29,351.2199401855469,4
2022-09-30,345.78887939453125,2
2022-10-03,354.9180603027344,6
2022-10-04,365.9158020019531,1
2022-10-05,365.0638427734375,2
2022-10-10,348.5382385253906,2
2022-10-11,346.3309631347656,4
2022-10-12,345.1886291503906,8
2022-10-13,354.29852294921875,1
2022-10-14,346.2245178222656,1
2022-10-17,355.1214294433594,3
2022-10-18,359.29400634765625,1
2022-10-19,356.7478332519531,2
2022-10-20,353.7563781738281,2
2022-10-21,362.3532104492188,3
2022-10-24,366.7871398925781,3
2022-10-25,372.6442260742188,1
2022-10-26,369.836669921875,1
2022-10-27,367.8617248535156,2
2022-10-28,376.6134033203125,2
2022-10-31,373.89300537109375,1
2022-11-01,372.25689697265625,1
2022-11-02,362.9147033691406,3
2022-11-03,359.17779541015625,2
2022-11-04,364.3475036621094,1
2022-11-07,367.8326721191406,3
2022-11-08,369.8172912597656,2
2022-11-09,362.1982727050781,1
2022-11-10,382.1025695800781,1
2022-11-11,385.80078125,2
2022-11-14,382.5188903808594,1
2022-11-15,385.7814025878906,3
2022-11-16,382.8383483886719,3
2022-11-17,381.66693115234375,3
2022-11-18,383.39984130859375,1
2022-11-21,382.0057373046875,1
2022-11-23,389.5860290527344,3
2022-11-25,389.49896240234375,1
2022-11-29,382.6253967285156,2
2022-11-30,394.6782531738281,1
2022-12-02,393.9328918457031,3
2022-12-06,381.27001953125,1
2022-12-07,380.6213989257813,3
2022-12-08,383.6031494140625,3
2022-12-09,380.737548828125,1
2022-12-12,386.2267150878906,5
2022-12-13,389.1504211425781,4
2022-12-15,377.2039489746094,3
2022-12-19,369.58984375,3
2022-12-21,375.6293640136719,3
2022-12-22,370.2706298828125,3
2022-12-23,372.4005126953125,1
2022-12-27,370.9319763183594,3
2022-12-28,366.3221130371094,3
2022-12-30,371.9336853027344,2
2023-01-04,373.2272033691406,2
2023-01-05,368.9673767089844,5
2023-01-06,377.42864990234375,3
2023-01-09,377.2146606445313,1
2023-01-10,379.8599548339844,1
2023-01-11,384.6644287109375,1
2023-01-12,386.0649108886719,1
2023-01-13,387.5626220703125,1
2023-01-18,380.7449951171875,1
2023-01-20,385.0145568847656,2
2023-01-23,389.6341857910156,4
2023-01-24,389.2160339355469,4
2023-01-25,389.3618469238281,1
2023-01-26,393.64111328125,3
2023-01-27,394.5455627441406,4
2023-01-30,389.5952453613281,1
2023-02-01,399.5250549316406,1
2023-02-02,405.3409118652344,1
2023-02-06,398.5816345214844,2
2023-02-07,403.7945251464844,3
2023-02-08,399.379150390625,2
2023-02-09,395.9168395996094,7
2023-02-13,401.4993286132813,1
2023-02-14,401.31451416015625,2
2023-02-15,402.6177673339844,1
2023-02-16,397.0741882324219,4
2023-02-17,396.0821838378906,3
2023-02-21,388.136474609375,2
2023-02-22,387.6015319824219,2
2023-02-23,389.6633605957031,1
2023-03-02,386.89154052734375,2
2023-03-03,393.096435546875,2
2023-03-06,393.3687438964844,3
2023-03-07,387.33892822265625,1
2023-03-08,387.97113037109375,1
